symbol
NVDA
MSFT
AAPL
AVGO
ORCL
AMD
CRM
GOOGL
GOOG
META
ADBE
TEAM
QCOM
TXN
INTC
IBM
SNPS
CSCO
NOW
PLTR
RTX
ADI
LMT
GD
HEI
KBR
RKLB
J
WD
NOC
HON
LHX
TXT
BWXT
SPR
CAE
AIR
MRCY
TDG
SAIC
